text,label
"/**
 * TestCases for {@link XSLTProcess} task.
 * XXX merge with {@link XsltTest}?
 * @version 2003-08-05
 */",TEST
// FIXME correct year calculation,DEFECT
// not needed,IMPLEMENTATION
// Really ought to have a CriticException to throw here.,DEFECT
// TODO: Is this removed from UML2 ?,IMPLEMENTATION
"// upper-case package name // TODO: top-level upper-case package was supported in the previous (Ruby-based) // implementation, so leaving as is.  see note at #getProxyOrPackageUnderPackage // re: future approach below the top-level.",DESIGN
"// hack to reduce the need to load every class in non-GUI mode, which only needs functions // TODO perhaps use BCEL to scan class files instead? // class name should contain this string // class name should not contain this string",DESIGN
// TODO: no need to calculate every time.,IMPLEMENTATION
// TODO: This is a temporary crutch to use until all Figs are updated // to use the constructor that accepts a DiagramSettings object,DESIGN
// TODO: Move magic number 10 to descriptive constant,DESIGN
// TODO: This should happen in GEF,DESIGN
//note that this implementation is kinda broken //for components with many-to-one associations,DEFECT
// TODO: key can't be null,DEFECT
//this is kinda the best we can do...,DESIGN
// Not used,DESIGN
// FIXME: wtf is this? Why would these use the class?,DESIGN
// TODO - why does null property have a value?,DEFECT
// If variables were added then we may need to grow the dynamic scope to match the static // one. // FIXME: Make this so we only need to check this for blockScope != null.  We cannot // currently since we create the DynamicScope for a LocalStaticScope before parse begins. // Refactoring should make this fixable.,DESIGN
// TODO: we didn't check the height yet,DEFECT
// All form parameter always have text/plain as mime type //TODO make this a parameter?,DESIGN
"// TODO What about the instance type name and the fact that we should be matching its type argument structure? // If they match so far, we must assume they are okay and then check all the arguments. //",IMPLEMENTATION
// TODO: don't require pop,DEFECT
//TODO: inefficient,DESIGN
// need this bullshit scroll bar policy for the preferred size // hack to work,DESIGN
//TODO: can we limit stored procedures ?!,IMPLEMENTATION
// These may not actually make any difference at present (the code // behind addTrigger needs more work).,DESIGN
// TODO is this really necessary?,DESIGN
"// the view should not be null, but some plugins might do this",DEFECT
//TODO: should fire its own event and ProjectBrowser //should register a listener - tfm,DESIGN
"/**
     * Builds a default implementation for an interface. The interface
     * is not owned by any model element by default. Users should not
     * forget to add ownership.
     *
     * @return Interface
     * TODO: This needs an extra parameter to specify the model/extent where
     * the new element should be created.
     */",DESIGN
"// FIXME: the following throws: // org.argouml.model.InvalidElementException:  // javax.jmi.reflect.InvalidObjectException: Object with  // MOFID 127-0-1-1-(...)000E75 no longer exists. //        applicableTagDefs = tagDefCBModel.getApplicableTagDefinitions(aClass); //        assertNotNull(""Tag Definition wasn't found in return value of "" //            + ""tagDefCBModel.getApplicableTagDefinitions(aClass), "" //            + ""after loading the project."", //            TestStereotypeUtility.findModelElementNamed( //                ProfileMother.TAG_DEFINITION_NAME_TD, applicableTagDefs));",DEFECT
"/**
     * Get ElementResidences.
     *
     * TODO: Unused.  Should be added to Facade? - tfm
     *
     * @param handle A modelElement
     * @return Collection The ElementResidence for this model element
     */",DESIGN
// TODO: don't require pop,DEFECT
// TODO: Workaround for GEF redraw problem // Force all child figs into the same layer,DESIGN
// todo : potentially look at optimizing these two arrays,DESIGN
// this seems unlikely to happen unless it's a totally bogus fileno // ...so do we even need to bother trying to create one?,DESIGN
"// none of the others are ever meant to be // removed. retarded, eh? this needs to be // fixed eventually, for plugins might // want to do weird stuff to jEdit's UI",DESIGN
// TODO: check threshold,DESIGN
// TODO: fetch this once as per vars above?,IMPLEMENTATION
"// TODO: I18N This needs to be localized, but we don't // have any localization capabilities in the model subsystem //                    Object[] args = { typeName, elemName, alias }; //                  misc.name.element-import.alias = Imported {0}: {1} alias {2} //                    return Translator.localize( //                            ""misc.name.element-import.alias"", args);",DESIGN
// TODO (@author fdietz): i18n,DESIGN
// TODO: don't require pop,DEFECT
// TODO: factor this chunk as in MRI/YARV GETASTER,DESIGN
"/**
     * Open a ZipInputStream to the first file found with a given extension.
     *
     * TODO: Remove since this is a duplicate of ZipFilePersister method
     * when we have refactored the Persister subsystem.
     *
     * @param url
     *            The URL of the zip file.
     * @param ext
     *            The required extension.
     * @return the zip stream positioned at the required location.
     * @throws IOException
     *             if there is a problem opening the file.
     */",DESIGN
// Should cache this subject to classloader change message // Evaluation of the formal parameter simply resolves its // type via the specified namespace.. it doesn't modify the // namespace.,DESIGN
// Get all classifiers in our model // TODO: We need the property panels to have some reference to // the project they belong to instead of using deprecated // functionality,DESIGN
"/* TODO: mvw: do we really look into super-types of the stereotype,
             * or should we be looking into super-types of the baseclass? */",DESIGN
// Hack to allow entire URL to be provided in host field,DESIGN
"/* TODO: Support navigability. 
     * The code below causes and exception in FigAssociationEndAnnotation. */",DEFECT
"/**
 * The panel that shows a value specification for an other UML element.
 *
 *
 * TODO: Do we need to implements ChangeListener If yes => ok If no => Can't be
 * use without *Optional class, or the *Optional don't need to !
 *
 */",IMPLEMENTATION
"/**
    * Parse an element-content model.
    * [42] elements ::= (choice | seq) ('?' | '*' | '+')?
    * [44] cps ::= S? %cp S?
    * [45] choice ::= '(' S? %ctokplus (S? '|' S? %ctoks)* S? ')'
    * [46] ctokplus ::= cps ('|' cps)+
    * [47] ctoks ::= cps ('|' cps)*
    * [48] seq ::= '(' S? %stoks (S? ',' S? %stoks)* S? ')'
    * [49] stoks ::= cps (',' cps)*
    * *NOTE: the opening '(' and S have already been read.
    * *TODO: go over parameter entity boundaries more carefully.
    */",IMPLEMENTATION
// TODO - use or remove,DESIGN
"//TODO: ideally we need the construction of PropertyAccessor to take the following: //      1) EntityMode //      2) EntityMode-specific data (i.e., the classname for pojo entities) //      3) Property-specific data based on the EntityMode (i.e., property-name or dom4j-node-name) // The easiest way, with the introduction of the new runtime-metamodel classes, would be the // the following predicates: //      1) PropertyAccessorFactory.getPropertyAccessor() takes references to both a //          org.hibernate.metadata.EntityModeMetadata and org.hibernate.metadata.Property //      2) What is now termed a ""PropertyAccessor"" stores any values needed from those two //          pieces of information //      3) Code can then simply call PropertyAccess.getGetter() with no parameters; likewise with //          PropertyAccessor.getSetter()",DESIGN
// Empty implementation.,IMPLEMENTATION
"/**
     * Make use of the default visibility, which is public...
     * TODO: centralise this knowledge.
     *
     * @see org.argouml.uml.diagram.ui.AbstractActionRadioMenuItem#valueOfTarget(java.lang.Object)
     */",DOCUMENTATION
// todo : temporary //      needed because currently persister is the one that //      creates and renders the join fragments for inheritence //      hierarchies...,DESIGN
//XXX  this array stuff is a remnant of prev trials.. gotta remove.,DESIGN
// this may be negative,DESIGN
// TODO: Review all callers to make sure that they localize the title // In process by Harold Braun 20070912,IMPLEMENTATION
// ENEBO: Very wrong,DEFECT
// This can be made public to allow others to extend their own persisters,DESIGN
"// The following ugly conversion from text to Byte is necessary because // the Byte class is inconsistant.  When asked to output as Hex, it does // so as an UNSIGNED byte, but when asked to read back the same thing // using the Hex radix, it insists that the input must be SIGNED. // To get around this, we up-size the conversion to Integer, then  // truncate that to a byte, and finally convert the byte to a Byte.  Yech.",DESIGN
// hack/workaround as sqlquery impl depend on having a key.,DESIGN
"/**
	 * **FIXME** This function needs documentation
	 * 
	 * @return String
	 * @param String
	 *            Name
	 *  
	 */",DOCUMENTATION
"// TODO: Add an ""open most recent project"" command so that  // command state can be decoupled from user settings?",DESIGN
"// There's not a compelling reason to keep JavaClass instances in a weak map // (any proxies created are [were] kept in a non-weak map, so in most cases they will // stick around anyway), and some good reasons not to (JavaClass creation is // expensive, for one; many lookups are performed when passing parameters to/from // methods; etc.). // TODO: faster custom concurrent map",DESIGN
// FIXME: When we get JNA3 we need to properly write this to errno.,IMPLEMENTATION
/* XXX magic number */,DESIGN
// TODO: Not sure the semantics are an exact match here between // UML 1.4 Aggregate and UML 2.x Shared.,DESIGN
//TODO: put this stuff back in to read snapshot from //      the second-level cache (needs some extra work),DESIGN
// TODO ought to be a FileChooser ...,DESIGN
// not used,DESIGN
// TODO: implement,IMPLEMENTATION
// A FigNodeModelElement with no owner should match here // TODO: This is a temporary solution due to FigPool // extending // FigNodeModelElement when in fact it should not do so.,DESIGN
// defer argument checking...,DESIGN
// Convert to bounding box // Very screwy!  GEF sometimes uses center and sometimes upper left // TODO: GEF also positions text at the nominal baseline which is // well inside the bounding box and gives the overall size incorrectly,DESIGN
"/**
     * Set the fig style according to attributes. <p>
     * 
     * TODO: This is never used! Can we remove?
     *
     * @param fig the fig to style.
     * @param attributeMap a map of name value pairs
     */",DESIGN
// TODO should we allow null for non-primitive types?,DESIGN
// defer argument checking,DESIGN
// TODO: add serialization support for images,IMPLEMENTATION
// Don't try restoring the URL TODO: wy not?,DEFECT
// TODO implement me!,IMPLEMENTATION
"// FIXME: This is pretty gross; we should have a cleaner initialization // that doesn't depend on package-visible fields and ideally is atomic, // probably using an immutable structure we replace all at once. // lazy, null when no groups defined",DESIGN
// Should we use java.naming.security.[principal|credentials] to create the QueueConnection?,DESIGN
// not implemented yet,IMPLEMENTATION
"// not used, but public so theoretically must remain for BC?",DESIGN
"// TODO: the namespace of created events is currently the model. // I think this is wrong, they should be // in the namespace of the activitygraph! //        vec.addAll( //                Model.getModelManagementHelper().getAllModelElementsOfKind( //                        Model.getFacade().getNamespace(getTarget()), //                        Model.getMetaTypes().getEvent()));",DESIGN
"///////////////// GEF Methods //////////////////////////// // TODO: These should really be picked up automatically from // some GEF interface that we extend, but there is no such // thing.  NOTE: We've only added methods used by ArgoUML, // so it's possible that external consumers need other methods.",DESIGN
// TODO: don't require pop,DEFECT
// TODO: profile dependencies for UML2,IMPLEMENTATION
// TODO - need a lot more tests,TEST
// SSS FIXME: Incomplete!,IMPLEMENTATION
"// Apparently, this method is never called.",IMPLEMENTATION
// XXX could perhaps also call thread.stop(); not sure if anyone cares,DESIGN
// Not possible to simply re-use the versionPropertyNode here as it causes // OOM errors due to circularity :(,DESIGN
// FIXME: When we get JNA3 we need to properly write this to errno.,IMPLEMENTATION
// what to do here? we could start a new server...,DESIGN
// TODO: Why is this not executed?  Remove if not needed - tfm,DESIGN
"// TODO: Do we need to set the input encoding here? It was // done for ToDo parsing, but none of the other member types // InputSource inputSource = new InputSource( // new InputStreamReader(inputStream, Argo // .getEncoding()));",DESIGN
"// _compileCheckBox = new JCheckBox(); // nameButton(_compileCheckBox, ""checkbox.compile-generated-source""); // TODO: Implement the compile feature. For now, disable the checkbox. // _compileCheckBox.setEnabled(false); // southPanel.add(_compileCheckBox, BorderLayout.SOUTH);",IMPLEMENTATION
// FIXME: this should go somewhere more generic -- maybe IdUtil,DESIGN
// XXX if we keep the createClassManager in getClassManager then we can axe // this?,DESIGN
// Need a better way to define the suffixes here...,DESIGN
"// TODO: make setBounds, calcBounds and updateBounds consistent",DEFECT
"// // @author: fdietz // WORKAROUND: // we simply append URLs to the existing global class loader // and use the same as parent //  // Note, that we create a new URL classloader for every class // we instanciate. We might want to support hot-swapping // of changed classes later.",DESIGN
//TBD return (user selected subset?) of referenced packages that contain super classes of classes in this package.,DESIGN
// TODO implement additional operations in 4.5.3.5,IMPLEMENTATION
"/**
     * Map of which resources are read-only.
     * <p>
     * TODO: This needs to be managed per EditingDomain.
     */",DESIGN
"// TODO: Really should be Element/ModelElement, but we don't // have a type which is portable for this",DESIGN
