text,label
// TODO: This is probably an undesirable side effect unless the user // confirms it.  Placing an element on a second diagram is going to // potentially change its namespace. - tfm 20061208,DEFECT
// TODO: Store BEGIN and END information into this node,IMPLEMENTATION
// TODO: Once we're happy that JFCUtilities is no longer required,DESIGN
// TODO: don't require pop,DEFECT
"// dialogs fuck things up if a menu is visible, etc! //new BeanShellErrorDialog(view,e);",DEFECT
"// TODO: Adding implicit nils caused multiple problems in compiler -- revist after landing //assert bodyNode != null : ""bodyNode is not null"";",DEFECT
// FIXME:  implement this...,IMPLEMENTATION
// TODO: implement,IMPLEMENTATION
// Feb 4 2000 5:30 PM // Catch Throwable here rather than Exception. // Kaffe's implementation of Runtime.exec throws java.lang.InternalError.,DEFECT
// TODO: @author fdietz replace with regular expression,IMPLEMENTATION
// Update attached node figures // TODO: Presumably this should only happen on a add or remove event,DEFECT
// EATM must fix isSet bits.,DEFECT
// FIXME: don't use RubyIO for this,IMPLEMENTATION
"/**
	 * **FIXME** This function needs documentation
	 * 
	 * Constructor
	 *  
	 */",DOCUMENTATION
// TODO: Only occurrence of isConcurrent in UML 2.1.1 is in index // it's not on the page that is indexed,DEFECT
"// There is a better way to save the context. This shouldn't // delegate to next, it's for backward compatibility only.",DESIGN
// not needed,IMPLEMENTATION
// not needed,IMPLEMENTATION
// TODO: don't require pop,DEFECT
// FIXME check if the id is a correct file name! ,DEFECT
// Does this dialect support the UNIQUE column syntax?,DESIGN
"/*
                 * Fix bug: -D arg1=arg2 was causing parse error; however
                 * --define arg1=arg2 is OK This seems to be because the parser
                 * skips the terminator for the long options, but was not doing
                 * so for the short options.
                 */",DESIGN
"/**
     * Removes a listener, eventtype pair from the listener list.
     *
     * TODO: replace the listener implementation with a EventListenerList
     * for better performance
     *
     * @param event the event to which the listener will not listen any more
     * @param listener the listener to be removed
     */",IMPLEMENTATION
// TODO: don't require pop,DEFECT
// TODO: don't require pop,DEFECT
// If we are not visible most likely we're being deleted. // TODO: This indicates a more fundamental problem that  // should be investigated - tfm - 20061230,DEFECT
// Race condition here...,DEFECT
"/* TODO: We may return something useful when the
         * relocate() has been implemented, like
         * all StateMachines that are not ActivityGraphs. */",IMPLEMENTATION
