text,label
"/*
			Original note: Jdk under Win is throwing these to
			warn about lower case / upper case possible mismatch.
			e.g. bsh.console bsh.Console
	
			Update: Prior to 1.3 we were squeltching NoClassDefFoundErrors 
			which was very annoying.  I cannot reproduce the original problem 
			and this was never a valid solution.  If there are legacy VMs that
			have problems we can include a more specific test for them here.
		*/",DEFECT
// TODO (@author fdietz):: implement test,TEST
"/**
	 * TODO: move to IOUtilities
	 * 
	 * @see net.sourceforge.squirrel_sql.client.update.UpdateUtil#createZipFile(FileWrapper, FileWrapper[])
	 */",DESIGN
"// Predecessors used to be not implemented, because it // caused some problems that I've not found an easy way to handle yet, // d00mst. The specific problem is that the notation currently is // ambiguous on second message after a thread split. // Why not implement it anyway? d00mst // TODO: Document this ambiguity and the choice made.",DOCUMENTATION
"// FIXME: create AttrReaderMethod, AttrWriterMethod, for faster attr access",IMPLEMENTATION
// TODO: should not be using assert here but I don't want to change to // IllegalStateException at lead up to a release as I don't know how // much testing is done with assert on.,TEST
// TODO: Move an empty implementation to FigGroup in GEF,DESIGN
// TODO: Performance critical method,DESIGN
/** TODO: Spring-inject when this class is a Spring bean */,DESIGN
// is this an error???,DEFECT
/* TODO: What if used elsewhere? */,DESIGN
// TODO: Bobs says - what is the purpose of this flag? Please document.,DOCUMENTATION
"// For some reason, when the Oracle plugin adds details tabs for  // triggers, the _tabPnl's first tab ends up being the trigger details // tab and not the generic database object info tab.  This causes the  // _tabs length to be 1 tab greater than the tabs that are actually in  // the _tabPnl.  This throws off the selection such that the tab  // selected in the tab panel doesn't get rendered until the tab to the // right of the selected tab is selected.  This is a work-around for  // this problem until I can determine why the DatabaseObjectInfoTab  // never makes it into the _tabPnl in the first place.",DESIGN
"/**
    * Create an empty but initialized instance of a UML Dependency.
    *
    * @return an initialized UML Dependency instance.
     * TODO: This needs an extra parameter to specify the model/extent where
     * the new element should be created.
    */",DESIGN
"// should indicate that we are processing an INSERT/UPDATE/DELETE // query with a subquery implied via a collection property // function. Here, we need to use the table name itself as the // qualification alias. // TODO : verify this works for all databases... // TODO : is this also the case in non-""indexed"" scenarios?",DESIGN
"// this is only needed (afaict) for processing results from the query cache; // however, this cannot possibly work in the case of discovered types...",DEFECT
// TODO: handle errors in buffered write by retrying until finished or file is closed,IMPLEMENTATION
"/* workaround for hang if match was
					 * zero-width. not sure if there is
					 * a better way to handle this */",DESIGN
// TODO (@author fdietz): i18n,DESIGN
"// This is the result of a bug that left off all trailing arguments. E.g.: //   system ""ls"", ""-1"", ""dir"" // would be seen as //   system ""ls""",DEFECT
"/**
     * The part of the design this issue affects.
     * <p>
     * Each member is either a model element, a {@link Fig}, or a
     * {@link Diagram}.
     * <p>
     * TODO: Offenders need to be more strongly typed. Because there is not a
     * common supertype for these three types, we can't type this list. We
     * should introduce a common supertype/interface. - tfm 20070630
     * <p>
     * The list of offenders is set once (e.g. by the constructor)
     * and cannot change.
     * <p>
     */",DESIGN
"//TODO: bad implementation, cos it depends upon ordering of mapping doc //      fixing this requires that Collection/PersistentClass gain access //      to the Mappings reference from Configuration (or the filterDefinitions //      map directly) sometime during Configuration.buildSessionFactory //      (after all the types/filter-defs are known and before building //      persisters).",DESIGN
"// TODO: This doesn't work, but should //        Collection elements = Model.getFacade().getRootElements(); //        Model.getUmlHelper().deleteCollection(elements); //        elements = Model.getFacade().getRootElements(); //        assertTrue(""Failed to create clean environment"", elements.isEmpty());",DEFECT
// TODO: don't require pop,DEFECT
// TODO (@author fdietz):: implement test,TEST
//TODO: is this completely correct?,DEFECT
// not needed,IMPLEMENTATION
// not needed,IMPLEMENTATION
"// The UML 2.1.1 metamodel is a MOF 2.0 CMOF model, so // we want nodes with // tag=""ownedMember"", attribute xmi:type=""cmof:Class"" // TODO: This code is untested - tfm",TEST
//TODO find a decent name before documenting,DOCUMENTATION
